cell_id,lever,notes,day_-2_pnl,day_-1_pnl,day_0_pnl,mean_pnl,min_pnl,max_pnl,std_pnl,total_maker_fills,total_taker_fills,local_total_pnl_3day,expected_official_pnl_per_day,avg_markout_1,avg_markout_5,avg_markout_20
B3_linear_c2.0,B3,"linear skew, coef=2.0",2792.50,3529.00,2829.00,3050.17,2792.50,3529.00,338.91,10,774,9150.50,1374.77,1.958,1.882,1.787
B3_linear_c4.0,B3,"linear skew, coef=4.0",2582.00,3359.00,2541.00,2827.33,2541.00,3359.00,376.32,6,768,8482.00,882.78,1.936,1.848,1.770
B3_linear_c6.0,B3,"linear skew, coef=6.0",2325.50,3064.00,2290.00,2559.83,2290.00,3064.00,356.79,9,763,7679.50,1076.03,1.879,1.789,1.677
B3_linear_c8.0,B3,"linear skew, coef=8.0",2264.50,2651.00,1851.00,2255.50,1851.00,2651.00,326.66,6,763,6766.50,707.38,1.821,1.705,1.616
B3_as_g1e-07,B3,"AS reservation-price skew, gamma=1e-07, sigma=2.0",2577.00,3496.00,2940.00,3004.33,2577.00,3496.00,377.93,6,755,9013.00,949.06,1.996,1.925,1.836
B3_as_g5e-07,B3,"AS reservation-price skew, gamma=5e-07, sigma=2.0",2533.00,3478.00,2868.00,2959.67,2533.00,3478.00,391.20,6,764,8879.00,927.40,1.986,1.910,1.809
B3_as_g2e-06,B3,"AS reservation-price skew, gamma=2e-06, sigma=2.0",2255.00,3522.00,2771.00,2849.33,2255.00,3522.00,520.21,5,775,8548.00,783.83,1.919,1.836,1.757
B3_tanh_c2.0,B3,"tanh skew, coef=2.0",2624.50,3491.00,2775.00,2963.50,2624.50,3491.00,378.03,5,769,8890.50,819.31,1.965,1.858,1.789
B3_tanh_c4.0,B3,"tanh skew, coef=4.0",2394.00,2763.00,1952.00,2369.67,1952.00,2763.00,331.54,6,751,7109.00,751.30,1.848,1.735,1.665
B3_tanh_c8.0,B3,"tanh skew, coef=8.0",1662.50,1951.00,1213.00,1608.83,1213.00,1951.00,303.67,7,761,4826.50,563.01,1.567,1.465,1.402
B3_quad_c4.0,B3,"quadratic skew, coef=4.0",2750.00,3518.00,2806.00,3024.67,2750.00,3518.00,349.59,10,777,9074.00,1359.20,1.943,1.858,1.760
B3_quad_c8.0,B3,"quadratic skew, coef=8.0",2822.50,3303.00,2494.00,2873.17,2494.00,3303.00,332.21,8,780,8619.50,1087.99,1.935,1.830,1.750
B3_quad_c16.0,B3,"quadratic skew, coef=16.0",2618.00,3207.00,1989.00,2604.67,1989.00,3207.00,497.34,5,776,7814.00,715.93,1.887,1.755,1.689
