cell_id,lever,notes,day_-2_pnl,day_-1_pnl,day_0_pnl,mean_pnl,min_pnl,max_pnl,std_pnl,total_maker_fills,total_taker_fills,local_total_pnl_3day,expected_official_pnl_per_day,avg_markout_1,avg_markout_5,avg_markout_20
B6_wall_mid_h16,B6,"history_length=16, fv=wall_mid",2582.00,3359.00,2541.00,2827.33,2541.00,3359.00,376.32,6,768,8482.00,882.78,1.936,1.848,1.770
B6_wall_mid_h32,B6,"history_length=32, fv=wall_mid",2582.00,3359.00,2541.00,2827.33,2541.00,3359.00,376.32,6,768,8482.00,882.78,1.936,1.848,1.770
B6_wall_mid_h48,B6,"history_length=48, fv=wall_mid",2582.00,3359.00,2541.00,2827.33,2541.00,3359.00,376.32,6,768,8482.00,882.78,1.936,1.848,1.770
B6_wall_mid_h64,B6,"history_length=64, fv=wall_mid",2582.00,3359.00,2541.00,2827.33,2541.00,3359.00,376.32,6,768,8482.00,882.78,1.936,1.848,1.770
B6_wall_mid_h96,B6,"history_length=96, fv=wall_mid",2582.00,3359.00,2541.00,2827.33,2541.00,3359.00,376.32,6,768,8482.00,882.78,1.936,1.848,1.770
B6_ewma_mid_h16,B6,"history_length=16, fv=ewma_mid",1736.00,1761.00,1802.00,1766.33,1736.00,1802.00,27.21,11,370,5299.00,1584.08,2.118,1.991,1.905
B6_ewma_mid_h32,B6,"history_length=32, fv=ewma_mid",1798.50,1761.00,1802.00,1787.17,1761.00,1802.00,18.56,10,369,5361.50,1479.78,2.120,1.988,1.923
B6_ewma_mid_h48,B6,"history_length=48, fv=ewma_mid",1798.50,1761.00,1802.00,1787.17,1761.00,1802.00,18.56,10,369,5361.50,1479.78,2.120,1.988,1.923
B6_ewma_mid_h64,B6,"history_length=64, fv=ewma_mid",1798.50,1761.00,1802.00,1787.17,1761.00,1802.00,18.56,10,369,5361.50,1479.78,2.120,1.988,1.923
B6_ewma_mid_h96,B6,"history_length=96, fv=ewma_mid",1798.50,1761.00,1802.00,1787.17,1761.00,1802.00,18.56,10,369,5361.50,1479.78,2.120,1.988,1.923
